category,name,phone,email_or_contact,website,source_url,hook,status
University counseling,NYU Counseling & Wellness,(212) 998-4780,wellness.exchange@nyu.edu,nyu.edu,https://www.nyu.edu/students/health-and-wellness/services/counseling-services.html,Self-awareness resource for students,to-do
Wellness/retreat,Kripalu Center,413-448-3500,registration@kripalu.org,kripalu.org,https://kripalu.org/about/kripalu/contact-us,Pre-retreat self-reflection for guests,to-do
Wellness/retreat,Omega Institute,877-944-2002,registration@eomega.org,eomega.org,https://www.eomega.org/contact,Self-knowledge journaling around workshops,to-do
Wellness/retreat,Esalen Institute,831-667-3000,info@esalen.org,esalen.org,https://www.esalen.org/contact,Reflection for workshop participants,to-do
Wellness/retreat,Spirit Rock Meditation Center,(415) 488-0164,srmc@spiritrock.org,spiritrock.org,https://www.spiritrock.org/contact-us,Between-sits reflection for retreatants,to-do
Wellness/retreat,1440 Multiversity,888-727-1440,info@1440.org,1440.org,https://www.1440.org/contact-us,Self-knowledge app for pre/post-course guests,to-do
Wellness/retreat,Drala Mountain Center,970-881-2184,frontdesk@dralamountain.org,dralamountain.org,https://www.dralamountain.org/contact-us/,Reflection for mountain-retreat participants,to-do
Wellness/retreat,Insight Meditation Society,978-355-4378,rc@dharma.org,dharma.org,https://www.dharma.org/contact-us/,Post-retreat integration prompts,to-do
Wellness/retreat,CorePower Yoga (HQ),(866) 441-9642,yogaondemand@corepoweryoga.com,corepoweryoga.com,https://www.corepoweryoga.com/contact-us,Group-circle reflection for teacher trainings,to-do
Wellness/retreat,Modo Yoga,—,info@modoyoga.com,modoyoga.com,https://modoyoga.com/contact/,Reflection for community yoga circles,to-do
Wellness/retreat,Art of Living Retreat Center,800-392-6870,info@aolrc.org,artoflivingretreatcenter.org,https://artoflivingretreatcenter.org/contact-us/,Pre/post-retreat reflection for guests,to-do
Wellness/retreat,Miraval Arizona,520-825-4000,(web form),miravalresorts.com/arizona,https://www.miravalresorts.com/arizona,Mindful self-knowledge to extend a stay,to-do
Wellness/retreat,Canyon Ranch (Tucson),520-749-9000,reservations@canyonranch.com,canyonranch.com,https://www.canyonranch.com/contact-us,Intention-setting companion for guests,to-do
Therapy practice,Two Chairs,(415) 202-5159,support@twochairs.com,twochairs.com,https://www.twochairs.com/referrals,Between-session reflection for measurement-based care,to-do
Therapy practice,Octave,(415) 360-3833,support@findoctave.com,findoctave.com,https://www.findoctave.com/contact,Extend personalized care plans at home,to-do
Therapy practice,Thriveworks,833-530-2577,(web form),thriveworks.com,https://thriveworks.com/contact-us/,Between-session tools across 340+ locations,to-do
Therapy practice,LifeStance Health,1-800-383-8282,wecare@lifestance.com,lifestance.com,https://lifestance.com/contact/,Reflection add-on across thousands of clinicians,to-do
Therapy practice,Grow Therapy,(646) 687-9932,support@growtherapy.com,growtherapy.com,https://growtherapy.com/contact-us/,Client-facing tool for in-network group,to-do
Therapy practice,Alma,—,(support center),helloalma.com,https://support.helloalma.com/hc/en-us,Vetted between-session app for independent therapists,to-do
Therapy practice,Headway,(833) 910-3781,support@get-headway.com,headway.co,https://headway.co/,Client reflection tool for large network,to-do
Therapy practice,SonderMind,844-843-7279,support@sondermind.com,sondermind.com,https://www.sondermind.com/contact-us/,Feeds outcomes focus of measurement-based network,to-do
Therapy practice,Mindpath Health,1-855-501-1004,(web form),mindpath.com,https://www.mindpath.com/,Client-engagement adjunct for large group,to-do
Therapy practice,The Family Institute (Northwestern),(847) 733-4300,(web form),family-institute.org,https://www.family-institute.org/about-us/contact-us,Evidence-minded between-session tool,to-do
Therapy practice,Talkiatry,833-351-8255,hello@talkiatry.com,talkiatry.com,https://www.talkiatry.com/contact-us,Structured self-reflection between visits,to-do
Therapy practice,Ellie Mental Health,1-888-693-5543,(web form),elliementalhealth.com,https://elliementalhealth.com/contact/,Central + franchisee outreach viable,to-do
Therapy practice,Rula (formerly Path),(800) 985-3059,support@rula.com,rula.com,https://www.rula.com/contact/,Client-engagement partnership for in-network network,to-do
Therapy body,American Counseling Association (ACA),800-347-6647,memberservices@counseling.org,counseling.org,https://www.counseling.org/contact,Awareness channel to ~50k counselors,to-do
Therapy body,American Psychological Association (APA),(800) 374-2721,(web form),apa.org,https://www.apa.org/about/contact,Credibility + distribution to practitioners,to-do
Therapy body,AAMFT,703-838-9808,central@aamft.org,aamft.org,https://networks.aamft.org/contactus,Couples/family therapists fit between-session reflection,to-do
Podcast,The Astrology Podcast (Chris Brennan),—,theastrologypodcast@gmail.com,theastrologypodcast.com,https://theastrologypodcast.com/contact/,Guest pitch: perception gap + astrology-meets-science,to-do
Podcast,Ghost of a Podcast (Jessica Lanyadoo),—,ghostofapodcast@gmail.com,lovelanyadoo.com,https://www.lovelanyadoo.com/contact,Guest pitch: self-knowledge + astrology audience,to-do
Podcast,Typology (Ian Morgan Cron),—,wendy@ianmorgancron.com,typologypodcast.com,https://www.ianmorgancron.com/,Guest pitch: personality + the five layers,to-do
Podcast,The Life Coach School (Brooke Castillo),—,theteam@thelifecoachschool.com,thelifecoachschool.com,https://www.thelifecoachschool.com/contact-us,Guest pitch: self-awareness tool,to-do
Podcast,The One You Feed (Eric Zimmer),—,guest@oneyoufeed.net,oneyoufeed.net,https://www.oneyoufeed.net/contact/,Guest pitch: growth + becoming,to-do
Podcast,Therapy for Black Girls (Dr. Joy Harden Bradford),—,(memo.fm form),therapyforblackgirls.com,https://therapyforblackgirls.com/podcast/,Guest pitch: self-understanding,to-do
Podcast,On Purpose (Jay Shetty),—,(verify) opowner@jayshetty.me,jayshetty.me,https://jayshetty.me/podcast/,Guest pitch: self-knowledge (long shot),to-do
Podcast,The Enneagram Journey (Suzanne Stabile),—,(site contact form),theenneagramjourney.org,https://www.theenneagramjourney.org/,Guest pitch: personality + self-perception,to-do
Podcast,Reimagining Love (Dr. Alexandra Solomon),—,(site form),dralexandrasolomon.com,https://www.dralexandrasolomon.com/podcast,Guest pitch: perception in relationships,to-do
Podcast,We Can Do Hard Things (Glennon Doyle),—,(voicemail 747-200-5307),wecandohardthingspodcast.com,https://wecandohardthingspodcast.com/,Guest pitch: self-knowledge (long shot),to-do
Podcast,Optimal Living Daily (Justin Malik),—,(contact form),oldpodcast.com,https://oldpodcast.com/,Easiest first yes; narrates blog posts,to-do
Creator,@enneagramandcoffee (Sarajane Case),Instagram ~500k,(DM),instagram.com/enneagramandcoffee,https://www.instagram.com/enneagramandcoffee/,Enneagram self-typing; who-am-I vs who-I-appear angle,to-do
Creator,@ninetypesco (Steph Barron Hall),Instagram ~140k-240k,(DM),instagram.com/ninetypesco,https://www.instagram.com/ninetypesco/,Enneagram coach; personality + self-awareness,to-do
Creator,@enneagramenthusiast (Sierra Mackenzie),Instagram ~109k,(DM),instagram.com/enneagramenthusiast,https://www.instagram.com/enneagramenthusiast/,Enneagram; self-perception angle,to-do
Creator,@the.holistic.psychologist (Dr. Nicole LePera),Instagram ~7.8M,(DM),instagram.com/the.holistic.psychologist,https://www.instagram.com/the.holistic.psychologist/,Self-healing tools; huge self-knowledge audience,to-do
Creator,@nedratawwab (Nedra Glover Tawwab),Instagram ~1.8M,(DM),instagram.com/nedratawwab,https://www.instagram.com/nedratawwab/,Boundaries + self-understanding,to-do
Creator,@jillian.turecki,Instagram ~3.9M / TikTok,(DM),instagram.com/jillian.turecki,https://www.instagram.com/jillian.turecki/,Self-awareness as root of relationships (perception gap),to-do
Creator,@thesecurerelationship (Julie Menanno),Instagram ~1M,(DM),instagram.com/thesecurerelationship,https://www.instagram.com/thesecurerelationship/,Attachment; how partners perceive each other,to-do
Creator,@sanctuarywrld,Instagram ~2M,(DM),instagram.com/sanctuarywrld,https://www.instagram.com/sanctuarywrld/,Gen Z/millennial astrology + self-reflection,to-do
Creator,@moonomens,Instagram (verify),(DM),instagram.com/moonomens,https://www.instagram.com/moonomens/,Astrology tools for self-reflection,to-do
Creator,@chaninicholas,Instagram (verify),(DM),instagram.com/chaninicholas,https://www.instagram.com/chaninicholas/,Astrology as self-knowledge framework,to-do
Creator,@ifrankjames,TikTok (verify),(DM),tiktok.com/@ifrankjames,https://www.tiktok.com/@ifrankjames,MBTI/16-personalities comedy; built-in type audience,to-do
Creator,@sarajanecase,Instagram ~399k,(DM),instagram.com/sarajanecase,https://www.instagram.com/sarajanecase/,Personal growth + Enneagram reels,to-do
